reference_sequence_name	code	database	original_taxonomic_assignation
Eukaryota_Chlorophyta_Ulvophyceae_Pseudendoclonium_akinetum_6240	6240	PhytoREF	PhytoREF_6240_NC_008114_Eukaryota_Archaeplastida_Chlorophyta_Ulvophyceae_Ulvophyceae_X_Ulvales_Ulvales_X_Ulvales_XX_Pseudendoclonium_Pseudendoclonium_akinetum
Eukaryota_Chlorophyta_Ulvophyceae_Rhipidosiphon_javensis_5630	5630	PhytoREF	PhytoREF_5630_FJ535843_Eukaryota_Archaeplastida_Chlorophyta_Ulvophyceae_Ulvophyceae_X_Bryopsidales_Bryopsidales_X_Udoteaceae_Rhipidosiphon_Rhipidosiphon_javensis
Eukaryota_Chlorophyta_Ulvophyceae_Rhipiliopsis_profunda_5610	5610	PhytoREF	PhytoREF_5610_FJ535845_Eukaryota_Archaeplastida_Chlorophyta_Ulvophyceae_Ulvophyceae_X_Bryopsidales_Bryopsidales_X_Rhipiliaceae_Rhipiliopsis_Rhipiliopsis_profunda
Eukaryota_Cryptophyta_Cryptophyceae_Chroomonas_sp_5354	5354	PhytoREF	PhytoREF_5354_AF545625_Eukaryota_Hacrobia_Cryptophyta_Cryptophyceae_Cryptophyceae_X_Pyrenomonadales_Pyrenomonadales_X_Chroomonadaceae_Chroomonas_Chroomonas_sp.
Eukaryota_Cryptophyta_Cryptophyceae_Cryptomonas_curvata_281	281	PhytoREF	PhytoREF_281_AM709636_Eukaryota_Hacrobia_Cryptophyta_Cryptophyceae_Cryptophyceae_X_Cryptomonadales_Cryptomonadales_X_Cryptomonadaceae_Cryptomonas_Cryptomonas_curvata
Eukaryota_Cryptophyta_Cryptophyceae_Cryptomonas_paramecium_4401	4401	PhytoREF	PhytoREF_4401_GQ358203_Eukaryota_Hacrobia_Cryptophyta_Cryptophyceae_Cryptophyceae_X_Cryptomonadales_Cryptomonadales_X_Cryptomonadaceae_Cryptomonas_Cryptomonas_paramecium
Eukaryota_Cryptophyta_Cryptophyceae_Rhodomonas_salina_6139	6139	PhytoREF	PhytoREF_6139_NC_009573_Eukaryota_Hacrobia_Cryptophyta_Cryptophyceae_Cryptophyceae_X_Pyrenomonadales_Pyrenomonadales_X_Pyrenomonadaceae_Rhodomonas_Rhodomonas_salina
Eukaryota_Cryptophyta_Cryptophyceae_Teleaulax_amphioxeia_3542	3542	PhytoREF	PhytoREF_3542_AF530383_Eukaryota_Hacrobia_Cryptophyta_Cryptophyceae_Cryptophyceae_X_Pyrenomonadales_Pyrenomonadales_X_Geminigeraceae_Teleaulax_Teleaulax_amphioxeia
Eukaryota_Dinoflagellata_Dinophyceae_Gyrodinium_aureolum_5751	5751	PhytoREF	PhytoREF_5751_AF172717_Eukaryota_Alveolata_Dinophyta_Dinophyceae_Dinophyceae_X_Dinotrichales_Dinotrichales_X_Dinotrichaceae_Gyrodinium_Gyrodinium_aureolum
Eukaryota_Dinoflagellata_Dinophyceae_Karenia_brevis_5590	5590	PhytoREF	PhytoREF_5590_EU043085_Eukaryota_Alveolata_Dinophyta_Dinophyceae_Dinophyceae_X_Gymnodiniales_Gymnodiniales_X_Kareniaceae_Karenia_Karenia_brevis
Eukaryota_Dinoflagellata_Dinophyceae_Karlodinium_veneficum_3180	3180	PhytoREF	PhytoREF_3180_AF272048_Eukaryota_Alveolata_Dinophyta_Dinophyceae_Dinophyceae_X_Brachidiniales_Brachidiniales_X_Brachidiniaceae_Karlodinium_Karlodinium_veneficum
Eukaryota_Dinoflagellata_Dinophyceae_Karlodinium_veneficum_4917	4917	PhytoREF	PhytoREF_4917_AF272047_Eukaryota_Alveolata_Dinophyta_Dinophyceae_Dinophyceae_X_Brachidiniales_Brachidiniales_X_Brachidiniaceae_Karlodinium_Karlodinium_veneficum
Eukaryota_Dinoflagellata_Dinophyceae_Lepidodinium_chlorophorum_5753	5753	PhytoREF	PhytoREF_5753_AB686258_Eukaryota_Alveolata_Dinophyta_Dinophyceae_Dinophyceae_X_Gymnodiniales_Gymnodiniales_X_Gymnodiniaceae_Lepidodinium_Lepidodinium_chlorophorum
Eukaryota_Dinoflagellata_Dinophyceae_Lepidodinium_sp_5743	5743	PhytoREF	PhytoREF_5743_AB686259_Eukaryota_Alveolata_Dinophyta_Dinophyceae_Dinophyceae_X_Gymnodiniales_Gymnodiniales_X_Gymnodiniaceae_Lepidodinium_Lepidodinium_sp.
Eukaryota_Euglenozoa_Euglenophyceae_Colacium_calvum_497	497	PhytoREF	PhytoREF_497_EU624035_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Euglenales_Euglenales_X_Euglenaceae_Colacium_Colacium_calvum
Eukaryota_Euglenozoa_Euglenophyceae_Colacium_sp_714	714	PhytoREF	PhytoREF_714_FJ719645_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Euglenales_Euglenales_X_Euglenaceae_Colacium_Colacium_sp.
Eukaryota_Euglenozoa_Euglenophyceae_Colacium_sp_5351	5351	PhytoREF	PhytoREF_5351_FJ719647_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Euglenales_Euglenales_X_Euglenaceae_Colacium_Colacium_sp.
Eukaryota_Euglenozoa_Euglenophyceae_Cryptoglena_pigra_4549	4549	PhytoREF	PhytoREF_4549_FJ719649_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Euglenales_Euglenales_X_Euglenaceae_Cryptoglena_Cryptoglena_pigra
Eukaryota_Euglenozoa_Euglenophyceae_Cryptoglena_skujae_5295	5295	PhytoREF	PhytoREF_5295_JQ356824_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Euglenales_Euglenales_X_Euglenaceae_Cryptoglena_Cryptoglena_skujae
Eukaryota_Euglenozoa_Euglenophyceae_Cryptoglena_sp_5525	5525	PhytoREF	PhytoREF_5525_JQ356816_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Euglenales_Euglenales_X_Euglenaceae_Cryptoglena_Cryptoglena_sp.
Eukaryota_Euglenozoa_Euglenophyceae_Cryptoglena_sp_5823	5823	PhytoREF	PhytoREF_5823_JQ356806_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Euglenales_Euglenales_X_Euglenaceae_Cryptoglena_Cryptoglena_sp.
Eukaryota_Euglenozoa_Euglenophyceae_Discoplastis_adunca_742	742	PhytoREF	PhytoREF_742_EU750704_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Euglenales_Euglenales_X_Phacaceae_Discoplastis_Discoplastis_adunca
Eukaryota_Euglenozoa_Euglenophyceae_Discoplastis_spathirhyncha_1019	1019	PhytoREF	PhytoREF_1019_AY626060_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Euglenales_Euglenales_X_Phacaceae_Discoplastis_Discoplastis_spathirhyncha
Eukaryota_Euglenozoa_Euglenophyceae_Discoplastis_sp_170	170	PhytoREF	PhytoREF_170_FJ719651_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Euglenales_Euglenales_X_Phacaceae_Discoplastis_Discoplastis_sp.
Eukaryota_Euglenozoa_Euglenophyceae_Euglenaria_anabaena_5409	5409	PhytoREF	PhytoREF_5409_FJ719667_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Euglenales_Euglenales_X_Euglenaceae_Euglenaria_Euglenaria_anabaena
Eukaryota_Euglenozoa_Euglenophyceae_Euglenaria_anabaena_5440	5440	PhytoREF	PhytoREF_5440_FJ719666_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Euglenales_Euglenales_X_Euglenaceae_Euglenaria_Euglenaria_anabaena
Eukaryota_Euglenozoa_Euglenophyceae_Euglenaria_caudata_3575	3575	PhytoREF	PhytoREF_3575_FJ374877_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Euglenales_Euglenales_X_Euglenaceae_Euglenaria_Euglenaria_caudata
Eukaryota_Euglenozoa_Euglenophyceae_Euglenaria_clavata_5765	5765	PhytoREF	PhytoREF_5765_EU750708_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Euglenales_Euglenales_X_Euglenaceae_Euglenaria_Euglenaria_clavata
Eukaryota_Euglenozoa_Euglenophyceae_Euglena_adhaerens_407	407	PhytoREF	PhytoREF_407_EU750706_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Euglenales_Euglenales_X_Euglenaceae_Euglena_Euglena_adhaerens
Eukaryota_Euglenozoa_Euglenophyceae_Euglena_agilis_897	897	PhytoREF	PhytoREF_897_AF289239_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Euglenales_Euglenales_X_Euglenaceae_Euglena_Euglena_agilis
Eukaryota_Euglenozoa_Euglenophyceae_Euglena_agilis_5438	5438	PhytoREF	PhytoREF_5438_FJ719652_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Euglenales_Euglenales_X_Euglenaceae_Euglena_Euglena_agilis
Eukaryota_Euglenozoa_Euglenophyceae_Euglena_agilis_5491	5491	PhytoREF	PhytoREF_5491_AY158151_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Euglenales_Euglenales_X_Euglenaceae_Euglena_Euglena_agilis
Eukaryota_Euglenozoa_Euglenophyceae_Euglena_agilis_5528	5528	PhytoREF	PhytoREF_5528_AY158150_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Euglenales_Euglenales_X_Euglenaceae_Euglena_Euglena_agilis
Eukaryota_Euglenozoa_Euglenophyceae_Euglena_agilis_5731	5731	PhytoREF	PhytoREF_5731_FJ719653_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Euglenales_Euglenales_X_Euglenaceae_Euglena_Euglena_agilis
Eukaryota_Euglenozoa_Euglenophyceae_Euglena_agilis_5771	5771	PhytoREF	PhytoREF_5771_EU624033_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Euglenales_Euglenales_X_Euglenaceae_Euglena_Euglena_agilis
Eukaryota_Euglenozoa_Euglenophyceae_Euglena_cantabrica_5737	5737	PhytoREF	PhytoREF_5737_AY626047_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Euglenales_Euglenales_X_Euglenaceae_Euglena_Euglena_cantabrica
Eukaryota_Euglenozoa_Euglenophyceae_Euglena_carterae_191	191	PhytoREF	PhytoREF_191_EU373477_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Euglenales_Euglenales_X_Euglenaceae_Euglena_Euglena_carterae
Eukaryota_Euglenozoa_Euglenophyceae_Euglena_chadefaudii_105	105	PhytoREF	PhytoREF_105_EU370501_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Euglenales_Euglenales_X_Euglenaceae_Euglena_Euglena_chadefaudii
Eukaryota_Euglenozoa_Euglenophyceae_Euglena_clara_941	941	PhytoREF	PhytoREF_941_EU750707_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Euglenales_Euglenales_X_Euglenaceae_Euglena_Euglena_clara
Eukaryota_Euglenozoa_Euglenophyceae_Euglena_deses_80	80	PhytoREF	PhytoREF_80_AY626043_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Euglenales_Euglenales_X_Euglenaceae_Euglena_Euglena_deses
Eukaryota_Euglenozoa_Euglenophyceae_Euglena_geniculata_766	766	PhytoREF	PhytoREF_766_AF289241_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Euglenales_Euglenales_X_Euglenaceae_Euglena_Euglena_geniculata
Eukaryota_Euglenozoa_Euglenophyceae_Euglena_geniculata_5492	5492	PhytoREF	PhytoREF_5492_FJ719658_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Euglenales_Euglenales_X_Euglenaceae_Euglena_Euglena_geniculata
Eukaryota_Euglenozoa_Euglenophyceae_Euglena_gracilis_6020	6020	PhytoREF	PhytoREF_6020_NC_001603_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Euglenales_Euglenales_X_Euglenaceae_Euglena_Euglena_gracilis
Eukaryota_Euglenozoa_Euglenophyceae_Euglena_granulata_5099	5099	PhytoREF	PhytoREF_5099_EU370511_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Euglenales_Euglenales_X_Euglenaceae_Euglena_Euglena_granulata
Eukaryota_Euglenozoa_Euglenophyceae_Euglena_gymnodinioides_335	335	PhytoREF	PhytoREF_335_EU221486_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Euglenales_Euglenales_X_Euglenaceae_Euglena_Euglena_gymnodinioides
Eukaryota_Euglenozoa_Euglenophyceae_Euglena_laciniata_621	621	PhytoREF	PhytoREF_621_EU221487_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Euglenales_Euglenales_X_Euglenaceae_Euglena_Euglena_laciniata
Eukaryota_Euglenozoa_Euglenophyceae_Euglena_mutabilis_3230	3230	PhytoREF	PhytoREF_3230_AY626044_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Euglenales_Euglenales_X_Euglenaceae_Euglena_Euglena_mutabilis
Eukaryota_Euglenozoa_Euglenophyceae_Euglena_proxima_580	580	PhytoREF	PhytoREF_580_AY626050_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Euglenales_Euglenales_X_Euglenaceae_Euglena_Euglena_proxima
Eukaryota_Euglenozoa_Euglenophyceae_Euglena_pseudoviridis_456	456	PhytoREF	PhytoREF_456_EU370498_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Euglenales_Euglenales_X_Euglenaceae_Euglena_Euglena_pseudoviridis
Eukaryota_Euglenozoa_Euglenophyceae_Euglena_sanguinea_5776	5776	PhytoREF	PhytoREF_5776_JQ281799_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Euglenales_Euglenales_X_Euglenaceae_Euglena_Euglena_sanguinea
Eukaryota_Euglenozoa_Euglenophyceae_Euglena_sociabilis_414	414	PhytoREF	PhytoREF_414_EU750710_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Euglenales_Euglenales_X_Euglenaceae_Euglena_Euglena_sociabilis
Eukaryota_Euglenozoa_Euglenophyceae_Euglena_splendens_673	673	PhytoREF	PhytoREF_673_EU221492_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Euglenales_Euglenales_X_Euglenaceae_Euglena_Euglena_splendens
Eukaryota_Euglenozoa_Euglenophyceae_Euglena_sp_5496	5496	PhytoREF	PhytoREF_5496_EU370509_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Euglenales_Euglenales_X_Euglenaceae_Euglena_Euglena_sp.
Eukaryota_Euglenozoa_Euglenophyceae_Euglena_sp_5530	5530	PhytoREF	PhytoREF_5530_FJ719660_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Euglenales_Euglenales_X_Euglenaceae_Euglena_Euglena_sp.
Eukaryota_Euglenozoa_Euglenophyceae_Euglena_sp_5749	5749	PhytoREF	PhytoREF_5749_FJ719659_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Euglenales_Euglenales_X_Euglenaceae_Euglena_Euglena_sp.
Eukaryota_Euglenozoa_Euglenophyceae_Euglena_tristella_793	793	PhytoREF	PhytoREF_793_AF289246_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Euglenales_Euglenales_X_Euglenaceae_Euglena_Euglena_tristella
Eukaryota_Euglenozoa_Euglenophyceae_Euglena_velata_5710	5710	PhytoREF	PhytoREF_5710_GU253969_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Euglenales_Euglenales_X_Euglenaceae_Euglena_Euglena_velata
Eukaryota_Euglenozoa_Euglenophyceae_Euglena_viridis_4003	4003	PhytoREF	PhytoREF_4003_AY626045_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Euglenales_Euglenales_X_Euglenaceae_Euglena_Euglena_viridis
Eukaryota_Euglenozoa_Euglenophyceae_Euglena_viridis_4299	4299	PhytoREF	PhytoREF_4299_EU221494_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Euglenales_Euglenales_X_Euglenaceae_Euglena_Euglena_viridis
Eukaryota_Euglenozoa_Euglenophyceae_Eutreptia_viridis_5733	5733	PhytoREF	PhytoREF_5733_JN643723_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Eutreptiales_Eutreptiales_X_Eutreptiaceae_Eutreptia_Eutreptia_viridis
Eukaryota_Euglenozoa_Euglenophyceae_Eutreptiella_braarudii_5713	5713	PhytoREF	PhytoREF_5713_DQ249873_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Eutreptiales_Eutreptiales_X_Eutreptiaceae_Eutreptiella_Eutreptiella_braarudii
Eukaryota_Euglenozoa_Euglenophyceae_Eutreptiella_gymnastica_134	134	PhytoREF	PhytoREF_134_FJ719671_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Eutreptiales_Eutreptiales_X_Eutreptiaceae_Eutreptiella_Eutreptiella_gymnastica
Eukaryota_Euglenozoa_Euglenophyceae_Eutreptiella_pomquetensis_557	557	PhytoREF	PhytoREF_557_EU750699_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Eutreptiales_Eutreptiales_X_Eutreptiaceae_Eutreptiella_Eutreptiella_pomquetensis
Eukaryota_Euglenozoa_Euglenophyceae_Lepocinclis_acus_157	157	PhytoREF	PhytoREF_157_EU221495_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Euglenales_Euglenales_X_Phacaceae_Lepocinclis_Lepocinclis_acus
Eukaryota_Euglenozoa_Euglenophyceae_Lepocinclis_fusca_5712	5712	PhytoREF	PhytoREF_5712_FJ719674_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Euglenales_Euglenales_X_Phacaceae_Lepocinclis_Lepocinclis_fusca
Eukaryota_Euglenozoa_Euglenophyceae_Lepocinclis_fusiformis_5760	5760	PhytoREF	PhytoREF_5760_AF289249_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Euglenales_Euglenales_X_Phacaceae_Lepocinclis_Lepocinclis_fusiformis
Eukaryota_Euglenozoa_Euglenophyceae_Lepocinclis_ovum_5696	5696	PhytoREF	PhytoREF_5696_AY221726_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Euglenales_Euglenales_X_Phacaceae_Lepocinclis_Lepocinclis_ovum
Eukaryota_Euglenozoa_Euglenophyceae_Lepocinclis_spirogyroides_5773	5773	PhytoREF	PhytoREF_5773_AF289243_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Euglenales_Euglenales_X_Phacaceae_Lepocinclis_Lepocinclis_spirogyroides
Eukaryota_Euglenozoa_Euglenophyceae_Lepocinclis_steinii_5526	5526	PhytoREF	PhytoREF_5526_EU221496_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Euglenales_Euglenales_X_Phacaceae_Lepocinclis_Lepocinclis_steinii
Eukaryota_Euglenozoa_Euglenophyceae_Lepocinclis_tripteris_5813	5813	PhytoREF	PhytoREF_5813_AF289245_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Euglenales_Euglenales_X_Phacaceae_Lepocinclis_Lepocinclis_tripteris
Eukaryota_Euglenozoa_Euglenophyceae_Monomorphina_aenigmatica_229	229	PhytoREF	PhytoREF_229_EU221498_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Euglenales_Euglenales_X_Euglenaceae_Monomorphina_Monomorphina_aenigmatica
Eukaryota_Euglenozoa_Euglenophyceae_Monomorphina_inconspicuus_5275	5275	PhytoREF	PhytoREF_5275_EU221499_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Euglenales_Euglenales_X_Euglenaceae_Monomorphina_Monomorphina_inconspicuus
Eukaryota_Euglenozoa_Euglenophyceae_Monomorphina_pseudopyrum_5405	5405	PhytoREF	PhytoREF_5405_JN603945_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Euglenales_Euglenales_X_Euglenaceae_Monomorphina_Monomorphina_pseudopyrum
Eukaryota_Euglenozoa_Euglenophyceae_Phacus_acuminatus_5750	5750	PhytoREF	PhytoREF_5750_EU221501_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Euglenales_Euglenales_X_Phacaceae_Phacus_Phacus_acuminatus
Eukaryota_Euglenozoa_Euglenophyceae_Phacus_applanatus_5825	5825	PhytoREF	PhytoREF_5825_EU750701_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Euglenales_Euglenales_X_Phacaceae_Phacus_Phacus_applanatus
Eukaryota_Euglenozoa_Euglenophyceae_Phacus_granum_5064	5064	PhytoREF	PhytoREF_5064_AY626058_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Euglenales_Euglenales_X_Phacaceae_Phacus_Phacus_granum
Eukaryota_Euglenozoa_Euglenophyceae_Phacus_hamatus_5715	5715	PhytoREF	PhytoREF_5715_JQ398649_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Euglenales_Euglenales_X_Phacaceae_Phacus_Phacus_hamatus
Eukaryota_Euglenozoa_Euglenophyceae_Phacus_hamelii_637	637	PhytoREF	PhytoREF_637_EU221502_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Euglenales_Euglenales_X_Phacaceae_Phacus_Phacus_hamelii
Eukaryota_Euglenozoa_Euglenophyceae_Phacus_limnophila_5707	5707	PhytoREF	PhytoREF_5707_AY626056_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Euglenales_Euglenales_X_Phacaceae_Phacus_Phacus_limnophila
Eukaryota_Euglenozoa_Euglenophyceae_Phacus_orbicularis_5759	5759	PhytoREF	PhytoREF_5759_FJ719687_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Euglenales_Euglenales_X_Phacaceae_Phacus_Phacus_orbicularis
Eukaryota_Euglenozoa_Euglenophyceae_Phacus_platyaulax_5742	5742	PhytoREF	PhytoREF_5742_JQ398650_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Euglenales_Euglenales_X_Phacaceae_Phacus_Phacus_platyaulax
Eukaryota_Euglenozoa_Euglenophyceae_Phacus_pleuronectes_5791	5791	PhytoREF	PhytoREF_5791_FJ719690_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Euglenales_Euglenales_X_Phacaceae_Phacus_Phacus_pleuronectes
Eukaryota_Euglenozoa_Euglenophyceae_Phacus_ranula_5738	5738	PhytoREF	PhytoREF_5738_EU624036_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Euglenales_Euglenales_X_Phacaceae_Phacus_Phacus_ranula
Eukaryota_Euglenozoa_Euglenophyceae_Phacus_trimarginatus_5739	5739	PhytoREF	PhytoREF_5739_FJ719695_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Euglenales_Euglenales_X_Phacaceae_Phacus_Phacus_trimarginatus
Eukaryota_Euglenozoa_Euglenophyceae_Phacus_triqueter_5817	5817	PhytoREF	PhytoREF_5817_EU221505_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Euglenales_Euglenales_X_Phacaceae_Phacus_Phacus_triqueter
Eukaryota_Euglenozoa_Euglenophyceae_Phacus_warszewiczii_5724	5724	PhytoREF	PhytoREF_5724_EU750703_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Euglenales_Euglenales_X_Phacaceae_Phacus_Phacus_warszewiczii
Eukaryota_Euglenozoa_Euglenophyceae_Strombomonas_acuminata_521	521	PhytoREF	PhytoREF_521_EU221506_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Euglenales_Euglenales_X_Euglenaceae_Strombomonas_Strombomonas_acuminata
Eukaryota_Euglenozoa_Euglenophyceae_Trachelomonas_abrupta_5793	5793	PhytoREF	PhytoREF_5793_EU221507_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Euglenales_Euglenales_X_Euglenaceae_Trachelomonas_Trachelomonas_abrupta
Eukaryota_Euglenozoa_Euglenophyceae_Trachelomonas_bernardinensis_5435	5435	PhytoREF	PhytoREF_5435_EU221509_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Euglenales_Euglenales_X_Euglenaceae_Trachelomonas_Trachelomonas_bernardinensis
Eukaryota_Euglenozoa_Euglenophyceae_Trachelomonas_echinata_5757	5757	PhytoREF	PhytoREF_5757_EU221510_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Euglenales_Euglenales_X_Euglenaceae_Trachelomonas_Trachelomonas_echinata
Eukaryota_Euglenozoa_Euglenophyceae_Trachelomonas_ellipsoidalis_5718	5718	PhytoREF	PhytoREF_5718_EU221511_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Euglenales_Euglenales_X_Euglenaceae_Trachelomonas_Trachelomonas_ellipsoidalis
Eukaryota_Euglenozoa_Euglenophyceae_Trachelomonas_hispida_5794	5794	PhytoREF	PhytoREF_5794_EU221513_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Euglenales_Euglenales_X_Euglenaceae_Trachelomonas_Trachelomonas_hispida
Eukaryota_Euglenozoa_Euglenophyceae_Trachelomonas_pertyi_5799	5799	PhytoREF	PhytoREF_5799_FJ719707_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Euglenales_Euglenales_X_Euglenaceae_Trachelomonas_Trachelomonas_pertyi
Eukaryota_Euglenozoa_Euglenophyceae_Trachelomonas_planctonica_4933	4933	PhytoREF	PhytoREF_4933_EU221516_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Euglenales_Euglenales_X_Euglenaceae_Trachelomonas_Trachelomonas_planctonica
Eukaryota_Euglenozoa_Euglenophyceae_Trachelomonas_rugulosa_5729	5729	PhytoREF	PhytoREF_5729_EU221517_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Euglenales_Euglenales_X_Euglenaceae_Trachelomonas_Trachelomonas_rugulosa
Eukaryota_Euglenozoa_Euglenophyceae_Trachelomonas_similis_5814	5814	PhytoREF	PhytoREF_5814_AY626055_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Euglenales_Euglenales_X_Euglenaceae_Trachelomonas_Trachelomonas_similis
Eukaryota_Euglenozoa_Euglenophyceae_Trachelomonas_volvocina_5770	5770	PhytoREF	PhytoREF_5770_EU221519_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Euglenales_Euglenales_X_Euglenaceae_Trachelomonas_Trachelomonas_volvocina
Eukaryota_Euglenozoa_Euglenophyceae_Trachelomonas_volvocinopsis_5747	5747	PhytoREF	PhytoREF_5747_EU221520_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Euglenales_Euglenales_X_Euglenaceae_Trachelomonas_Trachelomonas_volvocinopsis
Eukaryota_Euglenozoa_Euglenophyceae_Trachelomonas_zorensis_5720	5720	PhytoREF	PhytoREF_5720_EU221521_Eukaryota_Excavata_Discoba_Euglenozoa_Euglenophyceae_Euglenales_Euglenales_X_Euglenaceae_Trachelomonas_Trachelomonas_zorensis
Eukaryota_Glaucophyta_Glaucocystophyceae_Cyanophora_paradoxa_980	980	PhytoREF	PhytoREF_980_X81840_Eukaryota_Archaeplastida_Glaucophyta_Glaucocystophyceae_Glaucocystophyceae_X_Cyanophorales_Cyanophorales_X_Cyanophoraceae_Cyanophora_Cyanophora_paradoxa
